提出先識別子,提出先名称
49511200100000000000097,"茨城,下館年金事務所"
49511200100000000000098,"茨城,水戸北年金事務所"
49511200100000000000099,"栃木,宇都宮西年金事務所"
49511200100000000000100,"栃木,栃木年金事務所"
49511200100000000000101,"栃木,大田原年金事務所"
49511200100000000000102,"栃木,今市年金事務所"
49511200100000000000103,"栃木,宇都宮東年金事務所"
49511200100000000000104,"群馬,前橋年金事務所"
49511200100000000000105,"群馬,桐生年金事務所"
49511200100000000000106,"群馬,高崎年金事務所"
49511200100000000000107,"群馬,渋川年金事務所"
49511200100000000000108,"群馬,太田年金事務所"
49511200100000000000109,"埼玉,浦和年金事務所"
49511200100000000000110,"埼玉,熊谷年金事務所"
49511200100000000000111,"埼玉,川越年金事務所"
49511200100000000000112,"埼玉,大宮年金事務所"
49511200100000000000113,"埼玉,春日部年金事務所"
49511200100000000000114,"埼玉,秩父年金事務所"
49511200100000000000115,"埼玉,所沢年金事務所"
49511200100000000000116,"埼玉,越谷年金事務所"
49511200100000000000117,"千葉,千葉年金事務所"
49511200100000000000118,"千葉,船橋年金事務所"
49511200100000000000119,"千葉,木更津年金事務所"
49511200100000000000120,"千葉,佐原年金事務所"
49511200100000000000121,"千葉,松戸年金事務所"
49511200100000000000122,"千葉,幕張年金事務所"
49511200100000000000123,"千葉,市川年金事務所"
49511200100000000000124,"東京,千代田年金事務所"
49511200100000000000125,"東京,港年金事務所"
49511200100000000000126,"東京,中央年金事務所"
49511200100000000000127,"東京,上野年金事務所"
49511200100000000000128,"東京,文京年金事務所"
49511200100000000000129,"東京,足立年金事務所"
49511200100000000000130,"東京,江東年金事務所"
49511200100000000000131,"東京,江戸川年金事務所"
49511200100000000000132,"東京,墨田年金事務所"
49511200100000000000133,"東京,葛飾年金事務所"
49511200100000000000134,"東京,板橋年金事務所"
49511200100000000000135,"東京,池袋年金事務所"
49511200100000000000136,"東京,新宿年金事務所"
49511200100000000000137,"東京,杉並年金事務所"
49511200100000000000138,"東京,渋谷年金事務所"
49511200100000000000139,"東京,世田谷年金事務所"
49511200100000000000140,"東京,品川年金事務所"
49511200100000000000141,"東京,大田年金事務所"
49511200100000000000142,"東京,立川年金事務所"
49511200100000000000143,"東京,武蔵野年金事務所"
49511200100000000000144,"東京,八王子年金事務所"
49511200100000000000145,"東京,練馬年金事務所"
49511200100000000000146,"東京,目黒年金事務所"
49511200100000000000147,"東京,荒川年金事務所"
49511200100000000000148,"東京,北年金事務所"
49511200100000000000149,"東京,中野年金事務所"
49511200100000000000150,"東京,府中年金事務所"
49511200100000000000151,"東京,青梅年金事務所"
49511200100000000000152,"神奈川,鶴見年金事務所"
49511200100000000000153,"神奈川,横浜中年金事務所"
49511200100000000000154,"神奈川,横浜南年金事務所"
49511200100000000000155,"神奈川,港北年金事務所"
49511200100000000000156,"神奈川,横浜西年金事務所"
49511200100000000000157,"神奈川,川崎年金事務所"
49511200100000000000158,"神奈川,平塚年金事務所"
49511200100000000000159,"神奈川,相模原年金事務所"
49511200100000000000160,"神奈川,小田原年金事務所"
49511200100000000000161,"神奈川,横須賀年金事務所"
49511200100000000000162,"神奈川,高津年金事務所"
49511200100000000000163,"神奈川,厚木年金事務所"
49511200100000000000164,"神奈川,藤沢年金事務所"
49511200100000000000165,"新潟,新潟西年金事務所"
49511200100000000000166,"新潟,長岡年金事務所"
49511200100000000000167,"新潟,上越年金事務所"
49511200100000000000168,"新潟,三条年金事務所"
49511200100000000000169,"新潟,新発田年金事務所"
49511200100000000000170,"新潟,柏崎年金事務所"
49511200100000000000171,"新潟,新潟東年金事務所"
49511200100000000000172,"新潟,六日町年金事務所"
49511200100000000000173,"富山,富山年金事務所"
49511200100000000000174,"富山,高岡年金事務所"
49511200100000000000175,"富山,魚津年金事務所"
49511200100000000000176,"富山,砺波年金事務所"
49511200100000000000177,"石川,金沢北年金事務所"
49511200100000000000178,"石川,七尾年金事務所"
49511200100000000000179,"石川,小松年金事務所"
49511200100000000000180,"石川,金沢南年金事務所"
49511200100000000000181,"福井,福井年金事務所"
49511200100000000000182,"福井,敦賀年金事務所"
49511200100000000000183,"福井,武生年金事務所"
49511200100000000000184,"山梨,甲府年金事務所"
49511200100000000000185,"山梨,大月年金事務所"
49511200100000000000186,"山梨,竜王年金事務所"
49511200100000000000187,"長野,長野南年金事務所"
49511200100000000000188,"長野,岡谷年金事務所"
49511200100000000000189,"長野,飯田年金事務所"
49511200100000000000190,"長野,松本年金事務所"
49511200100000000000191,"長野,小諸年金事務所"
49511200100000000000192,"長野,伊那年金事務所"
49511200100000000000193,"長野,長野北年金事務所"
49511200100000000000194,"岐阜,岐阜南年金事務所"
49511200100000000000195,"岐阜,多治見年金事務所"
49511200100000000000196,"岐阜,大垣年金事務所"
49511200100000000000197,"岐阜,高山年金事務所"
49511200100000000000198,"岐阜,美濃加茂年金事務所"
49511200100000000000199,"岐阜,岐阜北年金事務所"
49511200100000000000200,"静岡,静岡年金事務所"
49511200100000000000201,"静岡,浜松東年金事務所"
49511200100000000000202,"静岡,浜松西年金事務所"
49511200100000000000203,"静岡,沼津年金事務所"
49511200100000000000204,"静岡,島田年金事務所"
49511200100000000000205,"静岡,富士年金事務所"
49511200100000000000206,"静岡,清水年金事務所"
49511200100000000000207,"静岡,三島年金事務所"
49511200100000000000208,"静岡,掛川年金事務所"
49511200100000000000209,"愛知,大曽根年金事務所"
49511200100000000000210,"愛知,鶴舞年金事務所"
49511200100000000000211,"愛知,笠寺年金事務所"
49511200100000000000212,"愛知,中村年金事務所"
49511200100000000000213,"愛知,熱田年金事務所"
49511200100000000000214,"愛知,昭和年金事務所"
49511200100000000000215,"愛知,名古屋北年金事務所"
49511200100000000000216,"愛知,名古屋西年金事務所"
49511200100000000000217,"愛知,豊橋年金事務所"
49511200100000000000218,"愛知,一宮年金事務所"
49511200100000000000219,"愛知,岡崎年金事務所"
49511200100000000000220,"愛知,半田年金事務所"
49511200100000000000221,"愛知,刈谷年金事務所"
49511200100000000000222,"愛知,瀬戸年金事務所"
49511200100000000000223,"愛知,豊田年金事務所"
49511200100000000000224,"愛知,豊川年金事務所"
49511200100000000000225,"三重,津年金事務所"
49511200100000000000226,"三重,四日市年金事務所"
49511200100000000000227,"三重,松阪年金事務所"
49511200100000000000228,"三重,尾鷲年金事務所"
49511200100000000000229,"三重,伊勢年金事務所"
49511200100000000000230,"滋賀,大津年金事務所"
49511200100000000000231,"滋賀,彦根年金事務所"
49511200100000000000232,"滋賀,草津年金事務所"
49511200100000000000233,"京都,上京年金事務所"
49511200100000000000234,"京都,中京年金事務所"
49511200100000000000235,"京都,下京年金事務所"
49511200100000000000236,"京都,京都南年金事務所"
49511200100000000000237,"京都,京都西年金事務所"
49511200100000000000238,"京都,舞鶴年金事務所"
49511200100000000000239,"大阪,大手前年金事務所"
49511200100000000000240,"大阪,堀江年金事務所"
49511200100000000000241,"大阪,市岡年金事務所"
49511200100000000000242,"大阪,天満年金事務所"
49511200100000000000243,"大阪,淀川年金事務所"
49511200100000000000244,"大阪,今里年金事務所"
49511200100000000000245,"大阪,福島年金事務所"
49511200100000000000246,"大阪,城東年金事務所"
49511200100000000000247,"大阪,天王寺年金事務所"
49511200100000000000248,"大阪,難波年金事務所"
49511200100000000000249,"大阪,玉出年金事務所"
49511200100000000000250,"大阪,八尾年金事務所"
49511200100000000000251,"大阪,枚方年金事務所"
49511200100000000000252,"大阪,豊中年金事務所"
49511200100000000000253,"大阪,平野年金事務所"
49511200100000000000254,"大阪,貝塚年金事務所"
49511200100000000000255,"大阪,堺東年金事務所"
49511200100000000000256,"大阪,東大阪年金事務所"
49511200100000000000257,"大阪,吹田年金事務所"
49511200100000000000258,"大阪,守口年金事務所"
49511200100000000000259,"大阪,堺西年金事務所"
49511200100000000000260,"兵庫,三宮年金事務所"
49511200100000000000261,"兵庫,須磨年金事務所"
49511200100000000000262,"兵庫,東灘年金事務所"
49511200100000000000263,"兵庫,兵庫年金事務所"
49511200100000000000264,"兵庫,尼崎年金事務所"
49511200100000000000265,"兵庫,姫路年金事務所"
49511200100000000000266,"兵庫,明石年金事務所"
49511200100000000000267,"兵庫,豊岡年金事務所"
49511200100000000000268,"兵庫,西宮年金事務所"
49511200100000000000269,"兵庫,加古川年金事務所"
49511200100000000000270,"奈良,奈良年金事務所"
49511200100000000000271,"奈良,大和高田年金事務所"
49511200100000000000272,"奈良,桜井年金事務所"
49511200100000000000273,"和歌山,和歌山東年金事務所"
49511200100000000000274,"和歌山,田辺年金事務所"
49511200100000000000275,"和歌山,和歌山西年金事務所"
49511200100000000000276,"鳥取,鳥取年金事務所"
49511200100000000000277,"鳥取,米子年金事務所"
49511200100000000000278,"鳥取,倉吉年金事務所"
49511200100000000000279,"島根,松江年金事務所"
49511200100000000000280,"島根,浜田年金事務所"
49511200100000000000281,"島根,出雲年金事務所"
49511200100000000000282,"岡山,岡山西年金事務所"
49511200100000000000283,"岡山,倉敷東年金事務所"
49511200100000000000284,"岡山,津山年金事務所"
49511200100000000000285,"岡山,高梁年金事務所"
49511200100000000000286,"岡山,岡山東年金事務所"
49511200100000000000287,"岡山,倉敷西年金事務所"
49511200100000000000288,"広島,広島東年金事務所"
49511200100000000000289,"広島,広島西年金事務所"
49511200100000000000290,"広島,福山年金事務所"
49511200100000000000291,"広島,呉年金事務所"
49511200100000000000292,"広島,三原年金事務所"
49511200100000000000293,"広島,三次年金事務所"
49511200100000000000294,"広島,広島南年金事務所"
49511200100000000000295,"広島,備後府中年金事務所"
49511200100000000000296,"山口,山口年金事務所"
49511200100000000000297,"山口,下関年金事務所"
49511200100000000000298,"山口,徳山年金事務所"
49511200100000000000299,"山口,宇部年金事務所"
49511200100000000000300,"山口,岩国年金事務所"
49511200100000000000301,"山口,萩年金事務所"
49511200100000000000302,"徳島,徳島北年金事務所"
49511200100000000000303,"徳島,阿波半田年金事務所"
49511200100000000000304,"徳島,徳島南年金事務所"
49511200100000000000305,"香川,高松東年金事務所"
49511200100000000000306,"香川,高松西年金事務所"
49511200100000000000307,"香川,善通寺年金事務所"
49511200100000000000308,"愛媛,松山西年金事務所"
49511200100000000000309,"愛媛,今治年金事務所"
49511200100000000000310,"愛媛,宇和島年金事務所"
49511200100000000000311,"愛媛,松山東年金事務所"
49511200100000000000312,"愛媛,新居浜年金事務所"
49511200100000000000313,"高知,高知東年金事務所"
49511200100000000000314,"高知,幡多年金事務所"
49511200100000000000315,"高知,南国年金事務所"
49511200100000000000316,"高知,高知西年金事務所"
49511200100000000000317,"福岡,博多年金事務所"
49511200100000000000318,"福岡,中福岡年金事務所"
49511200100000000000319,"福岡,南福岡年金事務所"
49511200100000000000320,"福岡,小倉北年金事務所"
49511200100000000000321,"福岡,久留米年金事務所"
49511200100000000000322,"福岡,直方年金事務所"
49511200100000000000323,"福岡,八幡年金事務所"
49511200100000000000324,"福岡,大牟田年金事務所"
49511200100000000000325,"福岡,東福岡年金事務所"
49511200100000000000326,"福岡,小倉南年金事務所"
49511200100000000000327,"福岡,西福岡年金事務所"
49511200100000000000328,"佐賀,佐賀年金事務所"
49511200100000000000329,"佐賀,唐津年金事務所"
49511200100000000000330,"佐賀,武雄年金事務所"
49511200100000000000331,"長崎,長崎南年金事務所"
49511200100000000000332,"長崎,長崎北年金事務所"
49511200100000000000333,"長崎,佐世保年金事務所"
49511200100000000000334,"長崎,諫早年金事務所"
49511200100000000000335,"熊本,熊本東年金事務所"
49511200100000000000336,"熊本,熊本西年金事務所"
49511200100000000000337,"熊本,八代年金事務所"
49511200100000000000338,"熊本,本渡年金事務所"
49511200100000000000339,"熊本,玉名年金事務所"
49511200100000000000340,"大分,大分年金事務所"
49511200100000000000341,"大分,別府年金事務所"
49511200100000000000342,"大分,佐伯年金事務所"
49511200100000000000343,"大分,日田年金事務所"
49511200100000000000344,"宮崎,宮崎年金事務所"
49511200100000000000345,"宮崎,延岡年金事務所"
49511200100000000000346,"宮崎,都城年金事務所"
49511200100000000000347,"宮崎,高鍋年金事務所"
49511200100000000000348,"鹿児島,鹿児島南年金事務所"
49511200100000000000349,"鹿児島,川内年金事務所"
49511200100000000000350,"鹿児島,鹿屋年金事務所"
49511200100000000000351,"鹿児島,奄美大島年金事務所"
49511200100000000000352,"鹿児島,鹿児島北年金事務所"
49511200100000000000353,"鹿児島,加治木年金事務所"
49511200100000000000354,"沖縄,那覇年金事務所"
49511200100000000000355,"沖縄,コザ年金事務所"
49511200100000000000356,"沖縄,名護年金事務所"
49511200100000000000357,"沖縄,平良年金事務所"
49511200100000000000358,"沖縄,石垣年金事務所"
49511200100000000000359,"沖縄,浦添年金事務所"
